name,internal_id,address,valid_until,country_codes,countries,status,node_id,sourceID
JACOBO ABRAHAM VENTURA SVIGILSKY,24926,,The Panama Papers  data is current through 2015,CHL,Chile,ACTIVE,11004106,Panama Papers
MAURICIO RISSARDO,24935,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11004107,Panama Papers
HAMID YOUSEFPOUR,25036,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11004108,Panama Papers
BALDASAR VUKASOVIC,25159,,The Panama Papers  data is current through 2015,,,,11004109,Panama Papers
ROBERTO FERNANDES VIDAL,25178,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11004110,Panama Papers
PEDRO COBIELLA,25196,,The Panama Papers  data is current through 2015,,,,11004111,Panama Papers
HUBERT A. KONARSKI,25316,HUBERT A. KONARSKI POLNA 12D/2 05-500 MYSIADLO POLONIA,The Panama Papers  data is current through 2015,POL,Poland,ACTIVE,11004112,Panama Papers
THOMAS JOB,25350,THOMAS JOB 97 BENNERLEY ROAD LONDON SW11 6DT ENGLAND UNITED KINGDOM,The Panama Papers  data is current through 2015,GBR,United Kingdom,ACTIVE,11004113,Panama Papers
LEVANT LAW PRACTICE,25421,LEVANT LAW PRACTICE STARCO CENTER; BLOCK B; 1ST & 2ND FLOORS; OMAR DAOUK ST.; MINA EL-HOSN  PO BOX 11- 1499 BEIRUT; LEBANON,The Panama Papers  data is current through 2015,LBN,Lebanon,ACTIVE,11004114,Panama Papers
MICHAEL J. WILSON,25428,"MICHAEL J. WILSON AVALON APARTMENTS, APT 11E 53 NGUYEN THI MINH KHAI ST. D1 HCMC VIETNAM",The Panama Papers  data is current through 2015,VNM,Viet Nam,SUSPENDED,11004115,Panama Papers
KEEGAN INTERNATIONAL CORP.,25453,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11004116,Panama Papers
MARCELO ARIEL,22031,MARCELO ARIEL P.O. BOX 708 KOHAV YAIR 44864 - ISRAEL,The Panama Papers  data is current through 2015,ISR,Israel,SUSPENDED,11004117,Panama Papers
"SINO-SUNNE (BEIJING) CONSULTATION CO.,LTD (QINGDAO BRANCH)",22036,SINO-SUNNE (BEIJING) CONSULTATION CO.; LTD ROOM 1101; TOWER B QINGDAO WORLD TRADE CENTRE 6 HONGKONG MIDDLE ROAD QINGDAO CHINA,The Panama Papers  data is current through 2015,CHN,China,ACTIVE,11004118,Panama Papers
ANNE GESINE STICHWEH H.,22066,ANNE GESINE STICHWEH H. P.O. BOX  0832-2313 WORLD TRADE CENTER PANAMA REP. DE PANAMA,The Panama Papers  data is current through 2015,PAN,Panama,SUSPENDED,11004119,Panama Papers
COMPASS TRUST CORPORATION (BELIZE),22074,COMPASS TRUST CORPORATION (BELIZE)  40B CENTRAL AMERICAN BUILDING  BELIZE CITY BELIZE CENTRAL AMERICA,The Panama Papers  data is current through 2015,BLZ,Belize,SUSPENDED,11004120,Panama Papers
MR. LUTZ LORENZ,22085,,The Panama Papers  data is current through 2015,,,,11004121,Panama Papers
KENNETH JOHN GREGORY,22091,"KENNETH GREGORY JOHN  760 NORTH PETERMAN ROAD GREENWOOD, IN 46142 U.S.A.",The Panama Papers  data is current through 2015,USA,United States,ACTIVE,11004122,Panama Papers
THE UNITED TRUST COMPANY N.V.,22101,"THE UNITED TRUST COMPANY N.V. LANDHUIS JOONCHI KAYA RICHARD J. BEAUJON Z/N P.O. BOX 837 CURACAO, NETHERLANDS ANTILLES",The Panama Papers  data is current through 2015,,,ACTIVE,11004123,Panama Papers
ALBA CORPORATE ENTERPRISES LIMITED,22104,ALBA CORPORATE ENTERPRISES LIMITED 21D CHYTRON STREET 1075 NICOSIA CYPRUS *S.I.*,The Panama Papers  data is current through 2015,CYP,Cyprus,ACTIVE,11004124,Panama Papers
NELSON TAKAOKA,22163,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11004125,Panama Papers
PAZ Y MIÑO - ASESORES,19553,PAZ Y NIÑO - ASESORES AVE. REPUBLICA DE EL SALVADOR #34-211 Y MOSCU  EDIF. FARAON; ASEGURADORA DEL SUR; PISO 4  QUITO; ECUADOR QUITO ECUADOR,The Panama Papers  data is current through 2015,ECU,Ecuador,ACTIVE,11004126,Panama Papers
ANTONIO CARLOS MARTINS,19592,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11004127,Panama Papers
APRIMEX S.A.,19600,APRIMEX S.A. CANELONES 1055 - 201 11.600 MONTEVIDEO URUGUAY,The Panama Papers  data is current through 2015,URY,Uruguay,SUSPENDED,11004128,Panama Papers
OMAR CARABALLO,19644,,The Panama Papers  data is current through 2015,,,,11004129,Panama Papers
EDUARDO SALAVERRY,19657,"SR. EDUARDO SALAVERRY APARTADO 0819-08270 PANAMÁ, REP. DE PANAMÁ",The Panama Papers  data is current through 2015,PAN,Panama,ACTIVE,11004130,Panama Papers
"ALVAREZ, GAMUS & PADRON",1966,ALVAREZ; GAMUS & PADRON P.O. BOX 1010 AVENIDA URDANETA; ANIMAS A PLAZA ESPAÑA EDIF. CENTRO FINANCIERO LATINO PISO 25; OFICINA 25-1 CARACAS; VENEZUELA,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",SUSPENDED,11004131,Panama Papers
